24.0498,7.7883,6.1823,373.1480,0.0815,1.3460,15.8346,0.0565
24.3512,8.2924,7.9620,395.5240,0.0886,1.2780,17.4381,0.0434
22.7839,7.8802,5.9559,396.1760,0.0874,1.1750,18.1635,0.0509
21.9651,7.5976,4.2455,398.3920,0.0882,1.3150,18.0902,0.0728
21.4828,7.4240,3.4620,399.2530,0.0879,1.3300,17.3112,0.0902
21.2812,7.3489,3.5016,399.8630,0.0891,1.3010,17.9037,0.0890
21.4692,7.4320,4.4958,398.8140,0.0903,1.4100,18.2326,0.0852
21.4308,7.4480,4.6604,399.1320,0.0963,1.2360,19.2162,0.0945
21.0286,7.3235,3.8151,399.7940,0.0952,1.2290,18.9994,0.1110
20.7372,7.2562,3.2943,400.5480,0.0976,1.2530,18.7445,0.1304
20.4636,7.1908,2.8589,400.9780,0.1006,1.3110,17.7531,0.1462
20.4148,7.2028,3.0636,400.6930,0.1021,1.2700,17.7379,0.1490
20.8821,7.2839,4.0594,400.5380,0.1035,1.2940,17.2561,0.1389
21.9757,7.3383,4.7717,399.5310,0.1045,1.2860,17.5679,0.1297
20.8313,7.2064,3.4112,401.0470,0.1072,1.3620,18.0837,0.1573
20.5161,7.1390,2.7002,400.9190,0.1100,1.3350,17.7507,0.1798
20.2651,7.1152,2.2391,401.1350,0.1101,1.3040,16.4831,0.1864
20.1883,7.0993,2.2151,401.6210,0.1141,1.3360,16.4585,0.1982
20.4802,7.1589,2.9885,401.5530,0.1142,1.2630,16.3395,0.1905
20.6042,7.1748,3.3134,402.4890,0.1175,1.2920,17.8178,0.2021
20.2248,7.1053,2.3608,403.3080,0.1195,1.2260,17.2591,0.2338
20.0075,7.0791,1.9274,404.4480,0.1195,1.2260,17.0029,0.2338
19.8701,7.0653,1.8894,404.4630,0.1172,1.3990,16.4397,0.2806
21.5998,7.1520,3.3091,404.3440,0.1187,1.3490,15.5213,0.2474
21.5278,7.1638,3.9527,402.6210,0.1195,1.3290,15.7988,0.2484
20.6243,7.0711,2.7194,405.4130,0.1209,1.2890,17.3336,0.2531
20.1724,7.0832,2.1448,410.0120,0.1249,1.4410,16.3415,0.3280
19.8134,7.0554,1.7085,411.9430,0.1285,1.5160,15.3401,0.3662
19.8653,7.0733,2.2311,415.3660,0.1302,1.5310,14.7700,0.3876
19.9027,7.0833,2.1469,418.9160,0.1298,1.4390,14.4403,0.4315
20.4002,7.1109,2.6612,419.5190,0.1265,1.4540,15.3003,0.4099
20.0174,7.1110,2.4946,425.4170,0.1242,1.4490,15.3722,0.4367
19.8126,7.0912,2.3842,427.4850,0.1223,1.4450,16.0722,0.4493
19.6055,7.0754,2.1565,428.8660,0.1211,1.4820,16.0917,0.4514
19.6516,7.0992,2.4029,428.9330,0.1224,1.4480,15.9751,0.4325
21.4481,7.1699,3.9023,429.5000,0.1141,1.3750,15.4079,0.3473
21.9055,7.2804,5.7320,427.5910,0.1109,1.3230,16.1576,0.2669
21.0678,7.1939,4.8135,427.7340,0.1061,1.2730,17.4944,0.2403
20.5529,7.3629,5.7374,430.2710,0.1139,1.3820,19.9527,0.2300
20.2876,7.2859,5.0694,431.2630,0.1197,1.4900,19.9381,0.2242
20.5881,7.4265,6.6147,431.4070,0.1246,1.5010,18.1310,0.1904
22.7200,7.9224,10.3255,429.6410,0.1201,1.4050,18.1732,0.1428
24.3200,8.6928,14.7283,422.8400,0.1180,1.3550,19.3015,0.0789
22.3902,8.1816,10.5133,424.7090,0.1184,1.3610,20.1288,0.0957
21.7177,7.7945,8.2714,426.6230,0.1245,1.4160,21.4414,0.1102
21.1253,7.7863,8.0228,427.7560,0.1508,1.7650,22.1968,0.1984
20.8636,7.6719,7.3794,427.8670,0.1597,1.7820,21.6787,0.2309
21.1005,7.8774,9.0119,457.1440,0.1656,2.0370,23.3364,0.2701
20.5527,7.4146,6.0172,454.5800,0.1654,1.9560,23.2151,0.3224
20.1467,7.2959,4.6951,455.9320,0.1946,2.1660,25.2963,0.5660
19.9486,7.2424,3.7662,456.4660,0.2165,2.3720,24.8538,0.7837
22.9350,7.8788,9.7085,461.9290,0.1908,2.1620,20.7851,0.5169
24.0845,8.4820,13.3727,453.9770,0.1813,2.1080,20.1995,0.3988
22.3460,8.0454,9.7708,443.7930,0.1837,2.1280,21.5752,0.4483
21.5802,7.6203,7.4637,445.6590,0.1833,2.1230,22.3424,0.4941
20.9841,7.5605,6.6619,449.8120,0.2198,2.4470,23.2306,0.6950
21.0845,7.5652,7.0741,449.3350,0.2266,2.4260,22.5454,0.6705
21.1212,7.7537,8.1951,444.8490,0.2214,2.3970,23.5096,0.6223
21.0240,7.7316,7.6802,443.2100,0.2219,2.4120,24.8054,0.6596
20.8558,7.6743,7.2598,442.0730,0.2167,2.3650,24.0558,0.6823
20.6584,7.5696,6.5584,442.4420,0.2123,2.3740,23.9436,0.7027
20.4889,7.4607,5.4960,442.3030,0.2124,2.3810,23.1202,0.7193
21.1600,7.5490,6.5433,441.4600,0.2054,2.3940,21.2824,0.6874
21.1908,7.5349,6.9607,514.3360,0.2044,2.3990,22.7096,0.6457
22.3921,7.6635,8.4030,512.4510,0.1870,2.2020,20.3679,0.5524
21.3770,7.4818,6.6017,515.0460,0.1825,2.2890,22.9252,0.5969
21.0780,7.5850,6.9783,516.8730,0.1964,2.4060,24.5472,0.6373
20.9346,7.5216,6.2983,516.9940,0.2033,2.3910,24.3786,0.6282
20.6946,7.4666,5.8783,509.7240,0.2008,2.3930,24.0553,0.6241
20.4022,7.4769,6.0436,511.1420,0.2017,2.3660,24.2275,0.6372
20.3464,7.4849,6.1926,513.2140,0.2012,2.5100,25.6459,0.6995
20.1942,7.4076,5.5411,514.9450,0.2021,2.5340,26.2399,0.7343
20.0672,7.3461,4.8134,516.6490,0.2012,2.5820,25.1435,0.7838
19.9787,7.2845,4.3488,520.3170,0.1984,2.6270,24.5551,0.8760
20.0009,7.3084,4.6548,521.4420,0.2008,2.6220,24.1729,0.8713
22.7008,7.7931,9.2506,520.6540,0.1718,2.5510,20.1715,0.6861
23.4773,8.1234,11.7804,518.1890,0.1659,2.4120,19.9899,0.5511
21.4453,7.4651,6.7270,524.7810,0.1622,2.5180,21.2730,0.6592
21.1333,7.6045,7.4604,530.1040,0.1711,2.6820,21.8226,0.7551
20.9627,7.4979,6.4344,531.7740,0.1711,2.6920,21.1957,0.7259
21.7447,7.7495,8.7637,532.3260,0.1595,2.6690,19.7880,0.6370
